epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8876,3.65373,4.14218,1.78052,0.00505,0.06302,0.00762,0.00231,3.67978,4.20812,1.90243,8.574e-05,8.574e-05,8.574e-05
2,29.82,3.68509,3.69815,1.46425,0.006,0.06829,0.00669,0.00301,3.63857,4.17292,1.70727,0.000176574,0.000176574,0.000176574
3,44.4101,3.58971,3.04491,1.2863,0.0066,0.03509,0.00954,0.0031,3.49655,3.98491,1.5504,0.000257506,0.000257506,0.000257506
4,59.3131,3.55402,2.54771,1.19427,0.0062,0.10675,0.00655,0.0013,3.45211,3.84525,1.49214,0.000328534,0.000328534,0.000328534
5,73.5845,3.43077,2.37978,1.18144,0.00659,0.14521,0.00891,0.00175,3.42262,3.75773,1.5194,0.00038966,0.00038966,0.00038966
6,88.6037,3.29742,2.18473,1.18729,0.0091,0.19595,0.01342,0.00328,3.41087,3.58996,1.52407,0.000440882,0.000440882,0.000440882
7,103.804,3.23886,2.05006,1.15704,0.01019,0.16626,0.01351,0.00418,3.49637,3.51138,1.52501,0.000482202,0.000482202,0.000482202
8,118.718,3.24173,1.98391,1.13186,0.02274,0.28893,0.02823,0.00752,3.35958,3.27597,1.39429,0.000513618,0.000513618,0.000513618
9,134.393,3.18198,1.92873,1.12009,0.02266,0.30121,0.03021,0.00802,3.43853,3.16761,1.44769,0.000535132,0.000535132,0.000535132
10,150.153,3.14173,1.92235,1.15326,0.02841,0.35385,0.03997,0.01118,3.24808,3.02456,1.40169,0.000546743,0.000546743,0.000546743
11,162.869,3.01149,1.91893,1.1037,0.01983,0.27328,0.02685,0.00693,3.34939,2.94883,1.42508,0.00054845,0.00054845,0.00054845
12,175.194,3.08717,1.95373,1.11949,0.02741,0.2525,0.04995,0.01155,3.2826,2.9095,1.40207,0.000540255,0.000540255,0.000540255
13,187.347,3.12184,2.0042,1.08962,0.0265,0.38192,0.05743,0.01209,3.25716,2.76092,1.42333,0.000522157,0.000522157,0.000522157
14,199.528,3.01322,1.86311,1.091,0.0265,0.38192,0.05743,0.01209,3.25716,2.76092,1.42333,0.000494155,0.000494155,0.000494155
15,211.76,2.99423,1.88533,1.12258,0.07668,0.10526,0.04285,0.01019,3.35777,2.63551,1.5201,0.000438703,0.000438703,0.000438703
16,224.049,2.97304,1.84882,1.12259,0.08233,0.10877,0.04867,0.01206,3.3126,2.54004,1.52119,0.000367967,0.000367967,0.000367967
17,237.097,2.95128,1.86952,1.09609,0.08116,0.13684,0.05681,0.01577,3.15999,2.49675,1.44272,0.000297232,0.000297232,0.000297232
18,249.252,2.98475,1.85535,1.0782,0.08582,0.1386,0.0551,0.0153,3.14731,2.48638,1.41073,0.000226497,0.000226497,0.000226497
19,261.394,3.01645,1.85577,1.06048,0.09152,0.12982,0.05803,0.01344,3.22659,2.51683,1.43336,0.000155761,0.000155761,0.000155761
20,273.526,2.91082,1.79861,1.06823,0.07606,0.10351,0.04964,0.01228,3.24341,2.55886,1.44281,8.50255e-05,8.50255e-05,8.50255e-05
